Model,Feature,Importance,Rank
Gradient Boosting Reference,OutdoorSpaceApprox,0.36232913682131845,1
Gradient Boosting Reference,LogListPrice,0.11132644565759937,2
Gradient Boosting Reference,ListPrice,0.10346575169342702,3
Gradient Boosting Reference,LivingAreaPerBedroom,0.08679202313967131,4
Gradient Boosting Reference,LivingAreaPerBathroom,0.0758859705292668,5
Gradient Boosting Reference,PropertyAgeSquared,0.06490277912236068,6
Gradient Boosting Reference,PropertyAge,0.05252546043948132,7
Gradient Boosting Reference,LotToLivingAreaRatio,0.03792679908494576,8
Gradient Boosting Reference,City_Chula Vista,0.0325820869490375,9
Gradient Boosting Reference,LivingArea,0.02880099609047508,10
Gradient Boosting Reference,LogLivingArea,0.018589478258033355,11
Gradient Boosting Reference,City_Ramona,0.010382776687433554,12
Gradient Boosting Reference,LogLotSize,0.006852626756656429,13
Gradient Boosting Reference,City_Lake Elsinore,0.0037368868339340937,14
Gradient Boosting Reference,ListPricePerSquareFoot,0.001051977816181452,15
Gradient Boosting Reference,City_Victorville,0.0009731418227049729,16
Gradient Boosting Reference,BedBathRatio,0.0009418268881673723,17
Gradient Boosting Reference,CountyOrParish_Riverside,0.0004129047025367786,18
Gradient Boosting Reference,LotSizeSquareFeet,0.00028642865569867285,19
Gradient Boosting Reference,TotalRoomsApprox,0.0001602444095162865,20
Gradient Boosting Reference,IsOlderProperty,4.112034300107462e-05,21
Gradient Boosting Reference,BathroomsTotalInteger,3.313729855264349e-05,22
Gradient Boosting Reference,City_Rancho Cucamonga,0.0,23
Gradient Boosting Reference,City_Rancho Santa Fe,0.0,24
Gradient Boosting Reference,City_Rancho Penasquitos,0.0,25
Gradient Boosting Reference,City_Rancho Palos Verdes,0.0,26
Gradient Boosting Reference,City_Rancho Mission Viejo,0.0,27
Gradient Boosting Reference,City_Rancho Mirage,0.0,28
Gradient Boosting Reference,City_Rancho Dominguez,0.0,29
Gradient Boosting Reference,City_Almanor,0.0,30
Gradient Boosting Reference,City_Raymond,0.0,31
Gradient Boosting Reference,City_Rancho Cordova,0.0,32
Gradient Boosting Reference,City_Rancho Cascades,0.0,33
Gradient Boosting Reference,City_Ranchita,0.0,34
Gradient Boosting Reference,City_Albany,0.0,35
Gradient Boosting Reference,City_Rainbow,0.0,36
Gradient Boosting Reference,City_Rancho Santa Margarita,0.0,37
Gradient Boosting Reference,City_Redding,0.0,38
Gradient Boosting Reference,City_Red Bluff,0.0,39
Gradient Boosting Reference,City_Quartz Hill,0.0,40
Gradient Boosting Reference,City_Redlands,0.0,41
Gradient Boosting Reference,City_Redondo Beach,0.0,42
Gradient Boosting Reference,City_Redwood City,0.0,43
Gradient Boosting Reference,City_Redwood Valley,0.0,44
Gradient Boosting Reference,City_Reedley,0.0,45
Gradient Boosting Reference,City_Rescue,0.0,46
Gradient Boosting Reference,City_Reseda,0.0,47
Gradient Boosting Reference,City_Reseda Ranch,0.0,48
Gradient Boosting Reference,City_Rialto,0.0,49
Gradient Boosting Reference,City_Richmond,0.0,50
Gradient Boosting Reference,City_Richvale,0.0,51
Gradient Boosting Reference,City_Quincy,0.0,52
Gradient Boosting Reference,City_Prunedale,0.0,53
Gradient Boosting Reference,City_Quail Valley,0.0,54
Gradient Boosting Reference,City_Pleasant Hill,0.0,55
Gradient Boosting Reference,City_Pine Valley,0.0,56
Gradient Boosting Reference,City_Pinole,0.0,57
Gradient Boosting Reference,City_Pinon Hills,0.0,58
Gradient Boosting Reference,City_Pioneer,0.0,59
Gradient Boosting Reference,City_Pioneertown,0.0,60
Gradient Boosting Reference,City_Piru,0.0,61
Gradient Boosting Reference,City_Pismo Beach,0.0,62
Gradient Boosting Reference,City_Pittsburg,0.0,63
Gradient Boosting Reference,City_Placentia,0.0,64
Gradient Boosting Reference,City_Placerville,0.0,65
Gradient Boosting Reference,City_Planada,0.0,66
Gradient Boosting Reference,City_Playa Del Rey,0.0,67
Gradient Boosting Reference,City_Pleasanton,0.0,68
Gradient Boosting Reference,City_Rimforest,0.0,69
Gradient Boosting Reference,City_Plumas Lake,0.0,70
Gradient Boosting Reference,City_Point Arena,0.0,71
Gradient Boosting Reference,City_Point Loma,0.0,72
Gradient Boosting Reference,City_Pomona,0.0,73
Gradient Boosting Reference,City_Port Costa,0.0,74
Gradient Boosting Reference,City_Port Hueneme,0.0,75
Gradient Boosting Reference,City_Porter Ranch,0.0,76
Gradient Boosting Reference,City_Porterville,0.0,77
Gradient Boosting Reference,City_Portola Valley,0.0,78
Gradient Boosting Reference,City_Potrero,0.0,79
Gradient Boosting Reference,City_Potter Valley,0.0,80
Gradient Boosting Reference,City_Poway,0.0,81
Gradient Boosting Reference,City_Ridgecrest,0.0,82
Gradient Boosting Reference,City_Rio Vista,0.0,83
Gradient Boosting Reference,City_Rio Linda,0.0,84
Gradient Boosting Reference,City_San Mateo,0.0,85
Gradient Boosting Reference,City_San Francisco,0.0,86
Gradient Boosting Reference,City_San Gabriel,0.0,87
Gradient Boosting Reference,City_San Jacinto,0.0,88
Gradient Boosting Reference,City_San Jose,0.0,89
Gradient Boosting Reference,City_San Juan Bautista,0.0,90
Gradient Boosting Reference,City_San Juan Capistrano,0.0,91
Gradient Boosting Reference,City_San Leandro,0.0,92
Gradient Boosting Reference,City_San Lorenzo,0.0,93
Gradient Boosting Reference,City_San Luis Obispo,0.0,94
Gradient Boosting Reference,City_San Marcos,0.0,95
Gradient Boosting Reference,City_San Marino,0.0,96
Gradient Boosting Reference,City_San Martin,0.0,97
Gradient Boosting Reference,City_San Miguel,0.0,98
Gradient Boosting Reference,City_San Dimas,0.0,99
Gradient Boosting Reference,City_San Pablo,0.0,100
Gradient Boosting Reference,City_San Pedro,0.0,101
Gradient Boosting Reference,City_San Rafael,0.0,102
Gradient Boosting Reference,City_San Ramon,0.0,103
Gradient Boosting Reference,City_San Simeon,0.0,104
Gradient Boosting Reference,City_San Ysidro,0.0,105
Gradient Boosting Reference,City_Sanger,0.0,106
Gradient Boosting Reference,City_Santa Ana,0.0,107
Gradient Boosting Reference,City_Santa Barbara,0.0,108
Gradient Boosting Reference,City_Santa Clara,0.0,109
Gradient Boosting Reference,City_Santa Clarita,0.0,110
Gradient Boosting Reference,City_Santa Cruz,0.0,111
Gradient Boosting Reference,City_San Fernando,0.0,112
Gradient Boosting Reference,City_San Diego,0.0,113
Gradient Boosting Reference,City_Pilot Hill,0.0,114
Gradient Boosting Reference,City_Rossmoor,0.0,115
Gradient Boosting Reference,City_Ripon,0.0,116
Gradient Boosting Reference,City_Riverbank,0.0,117
Gradient Boosting Reference,City_Riverdale,0.0,118
Gradient Boosting Reference,City_Riverside,0.0,119
Gradient Boosting Reference,City_Rocklin,0.0,120
Gradient Boosting Reference,City_Rodeo,0.0,121
Gradient Boosting Reference,City_Rohnert Park,0.0,122
Gradient Boosting Reference,City_Rolling Hills,0.0,123
Gradient Boosting Reference,City_Rolling Hills Estates,0.0,124
Gradient Boosting Reference,City_Rosamond,0.0,125
Gradient Boosting Reference,City_Rosemead,0.0,126
Gradient Boosting Reference,City_Roseville,0.0,127
Gradient Boosting Reference,City_Rowland Heights,0.0,128
Gradient Boosting Reference,City_San Clemente,0.0,129
Gradient Boosting Reference,City_Royal Oaks,0.0,130
Gradient Boosting Reference,City_Running Springs,0.0,131
Gradient Boosting Reference,City_Sacramento,0.0,132
